review_rank,split,galaxy,filename,cut_category,component_id,probability_mass,max_probability,mean_probability,area_over_beam,velocity_extent_kms,spatial_extent_kpc,edge_touching,velocity_edge_touching,velocity_extent_gt_70kms,review_priority
521,stress,ngc_3031,ngc_3031__std_004746.npy,spatial_offset_16pix__shell_minor,2,745.9097900390625,0.9912159442901611,0.7935210466384888,11.604938271604938,70.83333333333334,0.6640625,0,0,1,review_velocity_broad
522,stress,ngc_3031,ngc_3031__std_005225.npy,random_nearby_grazing,3,745.8458862304688,0.9997686147689819,0.855327844619751,10.765432098765432,37.5,1.09375,0,0,0,high_confidence_review
523,test,ho_ii,ho_ii__std_000186.npy,spatial_offset_4pix__shell_major,1,745.8124389648438,0.9999891519546509,0.8996531367301941,9.528735632183908,41.66666666666667,0.9375,0,0,0,high_confidence_review
524,stress,ngc_3031,ngc_3031__std_005181.npy,spatial_offset_8pix__shell_major,1,745.669189453125,0.997401237487793,0.8322200775146484,11.061728395061728,54.16666666666667,0.8203125,0,0,0,high_confidence_review
525,stress,ngc_3031,ngc_3031__std_003388.npy,spatial_offset_16pix__shell_major,1,745.0529174804688,0.9951235055923462,0.8124895691871643,11.320987654320987,35.41666666666667,1.34765625,0,0,0,high_confidence_review
526,val,ngc_4449,ngc_4449__std_000580.npy,fine_grid_deployment_like,1,744.931640625,0.9974436163902283,0.8286225199699402,4.142857142857143,41.66666666666667,1.1328125,0,0,0,medium_confidence_review
527,test,ngc_3184,ngc_3184__std_000992.npy,spatial_offset_4pix__shell_major,2,744.6937255859375,0.9993475079536438,0.7814204692840576,35.2962962962963,33.333333333333336,1.6796875,0,0,0,high_confidence_review
528,stress,ngc_3031,ngc_3031__std_001815.npy,velocity_offset_-15kms,2,744.3081665039062,0.9998381733894348,0.862466037273407,10.654320987654321,43.75,0.99609375,0,0,0,high_confidence_review
529,test,ngc_7793,ngc_7793__std_000553.npy,spatial_offset_8pix__shell_major,1,744.2021484375,0.9987320303916931,0.8390102982521057,10.313953488372093,43.75,1.09375,0,0,0,high_confidence_review
530,test,ngc_3184,ngc_3184__std_000849.npy,angle_offset_-22.5deg,1,743.915771484375,0.99762362241745,0.8210991024971008,33.55555555555556,33.333333333333336,1.46484375,0,0,0,high_confidence_review
