component_id,threshold,area_pix,max_probability,mean_probability,integrated_probability_mass,bbox_v0,bbox_pos0,bbox_v1,bbox_pos1,centroid_v,centroid_pos,aspect_ratio_pos_over_vel,major_extent_pix,minor_extent_pix,distance_from_image_edge_pix,edge_touching,velocity_extent_kms,spatial_extent_pix,spatial_extent_native,has_pos_axis_metadata,component_count_in_patch,largest_component_area_pix,galaxy,patch_id,patch_name,source_type,source,shell_id,orientation,offset_fraction,pv_cut_center,pv_cut_angle,velocity_extent_plausibility_warning,edge_artifact_warning
1,0.075,152,0.6227733492851257,0.31195369362831116,47.416961669921875,10,0,21,14,15.723684210526315,6.2631578947368425,1.25,15,12,0,True,30922.6875,15,15.0,True,3,239,ddo53,ddo53__cat_T1_S0001_galaxy_minor_op0p50,ddo53__cat_T1_S0001_galaxy_minor_op0p50.npy,catalog_shell,catalog_augmented,1,galaxy_minor,0.5,"[504.22813445820026, 477.6243401518988]",galaxy_minor,True,True
2,0.075,239,0.9827553033828735,0.4750858247280121,113.5455093383789,11,20,24,40,17.376569037656903,30.85774058577406,1.5,21,14,11,False,36076.46875,21,21.0,True,3,239,ddo53,ddo53__cat_T1_S0001_galaxy_minor_op0p50,ddo53__cat_T1_S0001_galaxy_minor_op0p50.npy,catalog_shell,catalog_augmented,1,galaxy_minor,0.5,"[504.22813445820026, 477.6243401518988]",galaxy_minor,True,False
3,0.075,22,0.10765247792005539,0.08813858032226562,1.9390487670898438,18,60,23,64,20.681818181818183,62.0,0.8333333333333334,6,5,0,True,15461.34375,5,5.0,True,3,239,ddo53,ddo53__cat_T1_S0001_galaxy_minor_op0p50,ddo53__cat_T1_S0001_galaxy_minor_op0p50.npy,catalog_shell,catalog_augmented,1,galaxy_minor,0.5,"[504.22813445820026, 477.6243401518988]",galaxy_minor,True,True
1,0.075,138,0.6464870572090149,0.3375473618507385,46.58153533935547,9,0,21,12,15.253623188405797,5.572463768115942,1.0,13,13,0,True,33499.578125,13,13.0,True,3,212,ddo53,ddo53__cat_T1_S0001_shell_major_om0p50,ddo53__cat_T1_S0001_shell_major_om0p50.npy,catalog_shell,catalog_augmented,1,shell_major,-0.5,"[507.77738224708105, 474.3146310365649]",shell_major,True,True
2,0.075,212,0.9918270707130432,0.5180741548538208,109.83172607421875,11,23,24,41,17.35377358490566,31.99056603773585,1.3571428571428572,19,14,11,False,36076.46875,19,19.0,True,3,212,ddo53,ddo53__cat_T1_S0001_shell_major_om0p50,ddo53__cat_T1_S0001_shell_major_om0p50.npy,catalog_shell,catalog_augmented,1,shell_major,-0.5,"[507.77738224708105, 474.3146310365649]",shell_major,True,False
3,0.075,33,0.12477640062570572,0.09713232517242432,3.205366849899292,18,59,24,64,20.484848484848484,61.78787878787879,0.8571428571428571,7,6,0,True,18038.234375,6,6.0,True,3,212,ddo53,ddo53__cat_T1_S0001_shell_major_om0p50,ddo53__cat_T1_S0001_shell_major_om0p50.npy,catalog_shell,catalog_augmented,1,shell_major,-0.5,"[507.77738224708105, 474.3146310365649]",shell_major,True,True
1,0.075,146,0.6462110877037048,0.33292868733406067,48.60758972167969,10,0,21,13,15.616438356164384,5.986301369863014,1.1666666666666667,14,12,0,True,30922.6875,14,14.0,True,3,240,ddo53,ddo53__cat_T1_S0001_shell_major_op0p00,ddo53__cat_T1_S0001_shell_major_op0p00.npy,catalog_shell,catalog_augmented,1,shell_major,0.0,"[506.0319196998422, 476.00020462527965]",shell_major,True,True
2,0.075,240,0.9918894171714783,0.4967629611492157,119.22311401367188,10,21,24,41,17.370833333333334,31.7125,1.4,21,15,10,False,38653.359375,21,21.0,True,3,240,ddo53,ddo53__cat_T1_S0001_shell_major_op0p00,ddo53__cat_T1_S0001_shell_major_op0p00.npy,catalog_shell,catalog_augmented,1,shell_major,0.0,"[506.0319196998422, 476.00020462527965]",shell_major,True,False
3,0.075,24,0.10859744250774384,0.08882713317871094,2.1318511962890625,18,60,23,64,20.291666666666668,61.875,0.8333333333333334,6,5,0,True,15461.34375,5,5.0,True,3,240,ddo53,ddo53__cat_T1_S0001_shell_major_op0p00,ddo53__cat_T1_S0001_shell_major_op0p00.npy,catalog_shell,catalog_augmented,1,shell_major,0.0,"[506.0319196998422, 476.00020462527965]",shell_major,True,True
1,0.075,154,0.6018818020820618,0.3019384741783142,46.4985237121582,10,0,21,14,15.785714285714286,6.279220779220779,1.25,15,12,0,True,30922.6875,15,15.0,True,3,245,ddo53,ddo53__cat_T1_S0001_shell_major_op0p50,ddo53__cat_T1_S0001_shell_major_op0p50.npy,catalog_shell,catalog_augmented,1,shell_major,0.5,"[504.28645715260336, 477.6857782139944]",shell_major,True,True
2,0.075,245,0.9799157381057739,0.4682508409023285,114.7214584350586,11,20,24,40,17.367346938775512,30.6734693877551,1.5,21,14,11,False,36076.46875,21,21.0,True,3,245,ddo53,ddo53__cat_T1_S0001_shell_major_op0p50,ddo53__cat_T1_S0001_shell_major_op0p50.npy,catalog_shell,catalog_augmented,1,shell_major,0.5,"[504.28645715260336, 477.6857782139944]",shell_major,True,False
3,0.075,28,0.1095724105834961,0.08890195935964584,2.489254951477051,18,60,24,64,20.75,62.07142857142857,0.7142857142857143,7,5,0,True,18038.234375,5,5.0,True,3,245,ddo53,ddo53__cat_T1_S0001_shell_major_op0p50,ddo53__cat_T1_S0001_shell_major_op0p50.npy,catalog_shell,catalog_augmented,1,shell_major,0.5,"[504.28645715260336, 477.6857782139944]",shell_major,True,True
1,0.075,134,0.908396303653717,0.42285749316215515,56.66290283203125,13,26,25,38,18.992537313432837,32.23134328358209,1.0,13,13,13,False,33499.578125,13,13.0,True,2,134,ddo53,ddo53__cat_T1_S0001_shell_minor_om0p50,ddo53__cat_T1_S0001_shell_minor_om0p50.npy,catalog_shell,catalog_augmented,1,shell_minor,-0.5,"[508.4398819694347, 478.49372254990664]",shell_minor,True,False
2,0.075,10,0.0935516506433487,0.08341360837221146,0.8341360688209534,18,60,22,62,19.6,61.2,0.6,5,3,2,False,12884.453125,3,3.0,True,2,134,ddo53,ddo53__cat_T1_S0001_shell_minor_om0p50,ddo53__cat_T1_S0001_shell_minor_om0p50.npy,catalog_shell,catalog_augmented,1,shell_minor,-0.5,"[508.4398819694347, 478.49372254990664]",shell_minor,True,False
