component_id,threshold,area_pix,max_probability,mean_probability,integrated_probability_mass,bbox_v0,bbox_pos0,bbox_v1,bbox_pos1,centroid_v,centroid_pos,aspect_ratio_pos_over_vel,major_extent_pix,minor_extent_pix,distance_from_image_edge_pix,edge_touching,velocity_extent_kms,spatial_extent_pix,spatial_extent_native,has_pos_axis_metadata,component_count_in_patch,largest_component_area_pix,galaxy,patch_id,patch_name,source_type,source,shell_id,orientation,offset_fraction,pv_cut_center,pv_cut_angle,velocity_extent_plausibility_warning,edge_artifact_warning
1,0.05,431,0.9378384351730347,0.27130258083343506,116.93141174316406,9,0,24,40,17.647331786542924,19.573085846867748,2.5625,41,16,0,True,41230.25,41,41.0,True,1,431,ddo53,ddo53__cat_T1_S0001_galaxy_major_om0p50,ddo53__cat_T1_S0001_galaxy_major_om0p50.npy,catalog_shell,catalog_augmented,1,galaxy_major,-0.5,"[503.7139156041865, 473.42580026721913]",galaxy_major,True,True
1,0.05,181,0.42447593808174133,0.18701651692390442,33.84999084472656,9,0,24,14,17.441988950276244,6.0,0.9375,16,15,0,True,41230.25,15,15.0,True,2,262,ddo53,ddo53__cat_T1_S0001_galaxy_major_op0p00,ddo53__cat_T1_S0001_galaxy_major_op0p00.npy,catalog_shell,catalog_augmented,1,galaxy_major,0.0,"[506.0319196998422, 476.00020462527965]",galaxy_major,True,True
2,0.05,262,0.9815400838851929,0.3985337018966675,104.41583251953125,12,19,26,41,18.553435114503817,30.576335877862597,1.5333333333333334,23,15,12,False,38653.359375,23,23.0,True,2,262,ddo53,ddo53__cat_T1_S0001_galaxy_major_op0p00,ddo53__cat_T1_S0001_galaxy_major_op0p00.npy,catalog_shell,catalog_augmented,1,galaxy_major,0.0,"[506.0319196998422, 476.00020462527965]",galaxy_major,True,False
1,0.05,442,0.9461914896965027,0.2599422335624695,114.89447021484375,10,0,27,38,19.3868778280543,18.42760180995475,2.1666666666666665,39,18,0,True,46384.03125,39,39.0,True,1,442,ddo53,ddo53__cat_T1_S0001_galaxy_major_op0p50,ddo53__cat_T1_S0001_galaxy_major_op0p50.npy,catalog_shell,catalog_augmented,1,galaxy_major,0.5,"[508.3499237954979, 478.57460898334017]",galaxy_major,True,True
1,0.05,149,0.6029843688011169,0.29530245065689087,44.000064849853516,9,0,21,13,15.21476510067114,5.771812080536913,1.0769230769230769,14,13,0,True,33499.578125,14,14.0,True,3,253,ddo53,ddo53__cat_T1_S0001_galaxy_minor_om0p50,ddo53__cat_T1_S0001_galaxy_minor_om0p50.npy,catalog_shell,catalog_augmented,1,galaxy_minor,-0.5,"[507.83570494148415, 474.3760690986605]",galaxy_minor,True,True
2,0.05,253,0.9921334981918335,0.4501531422138214,113.88874816894531,10,21,24,42,17.284584980237153,31.99604743083004,1.4666666666666666,22,15,10,False,38653.359375,22,22.0,True,3,253,ddo53,ddo53__cat_T1_S0001_galaxy_minor_om0p50,ddo53__cat_T1_S0001_galaxy_minor_om0p50.npy,catalog_shell,catalog_augmented,1,galaxy_minor,-0.5,"[507.83570494148415, 474.3760690986605]",galaxy_minor,True,False
3,0.05,52,0.11815255135297775,0.08020540326833725,4.170680999755859,17,58,25,64,20.673076923076923,61.36538461538461,0.7777777777777778,9,7,0,True,23192.015625,7,7.0,True,3,253,ddo53,ddo53__cat_T1_S0001_galaxy_minor_om0p50,ddo53__cat_T1_S0001_galaxy_minor_om0p50.npy,catalog_shell,catalog_augmented,1,galaxy_minor,-0.5,"[507.83570494148415, 474.3760690986605]",galaxy_minor,True,True
1,0.05,157,0.6496613025665283,0.3075050711631775,48.278297424316406,9,0,21,14,15.369426751592357,6.044585987261146,1.1538461538461537,15,13,0,True,33499.578125,15,15.0,True,3,264,ddo53,ddo53__cat_T1_S0001_galaxy_minor_op0p00,ddo53__cat_T1_S0001_galaxy_minor_op0p00.npy,catalog_shell,catalog_augmented,1,galaxy_minor,0.0,"[506.0319196998422, 476.00020462527965]",galaxy_minor,True,True
2,0.05,264,0.9922691583633423,0.4510533809661865,119.07809448242188,10,21,24,42,17.143939393939394,31.806818181818183,1.4666666666666666,22,15,10,False,38653.359375,22,22.0,True,3,264,ddo53,ddo53__cat_T1_S0001_galaxy_minor_op0p00,ddo53__cat_T1_S0001_galaxy_minor_op0p00.npy,catalog_shell,catalog_augmented,1,galaxy_minor,0.0,"[506.0319196998422, 476.00020462527965]",galaxy_minor,True,False
3,0.05,54,0.11155956983566284,0.07672008872032166,4.142884731292725,17,58,25,64,20.833333333333332,61.407407407407405,0.7777777777777778,9,7,0,True,23192.015625,7,7.0,True,3,264,ddo53,ddo53__cat_T1_S0001_galaxy_minor_op0p00,ddo53__cat_T1_S0001_galaxy_minor_op0p00.npy,catalog_shell,catalog_augmented,1,galaxy_minor,0.0,"[506.0319196998422, 476.00020462527965]",galaxy_minor,True,True
