split,stage,filename,galaxy,cut_category,shell_id,mask_pixels,n_components_before,max_area_over_beam,max_probability_mass,any_velocity_edge_touching,metadata_path,image_path,mask_path
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_003373.npy,ngc_3031,angle_offset_+45deg,130,30,1,5.481481481481482,350.5957946777344,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_003373.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_003373.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_003373.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_003620.npy,ngc_3031,spatial_offset_8pix__shell_major,140,16,1,6.320987654320987,359.8687744140625,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_003620.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_003620.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_003620.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_003631.npy,ngc_3031,angle_offset_-22.5deg,140,66,1,7.925925925925926,516.3592529296875,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_003631.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_003631.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_003631.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_003636.npy,ngc_3031,velocity_offset_+15kms,140,66,1,5.1234567901234565,260.2408142089844,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_003636.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_003636.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_003636.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_003638.npy,ngc_3031,random_nearby_grazing,140,89,1,3.8271604938271606,188.2243194580078,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_003638.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_003638.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_003638.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_003736.npy,ngc_3031,angle_offset_+22.5deg,144,46,1,5.716049382716049,356.8777770996094,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_003736.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_003736.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_003736.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_003955.npy,ngc_3031,centered_positive__galaxy_minor,153,186,1,2.308641975308642,110.37727355957031,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_003955.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_003955.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_003955.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_004006.npy,ngc_3031,centered_positive__galaxy_major,155,66,1,7.197530864197531,505.4932861328125,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004006.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004006.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_004006.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_004022.npy,ngc_3031,angle_offset_+22.5deg,155,66,1,7.074074074074074,502.44482421875,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004022.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004022.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_004022.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_004023.npy,ngc_3031,angle_offset_+45deg,155,36,1,5.950617283950617,409.8729553222656,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004023.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004023.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_004023.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_004026.npy,ngc_3031,velocity_offset_+15kms,155,24,1,4.580246913580247,281.80743408203125,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004026.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004026.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_004026.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_004082.npy,ngc_3031,centered_positive__shell_major,158,186,1,3.6790123456790123,202.7216339111328,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004082.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004082.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_004082.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_004085.npy,ngc_3031,centered_positive__galaxy_minor,158,177,1,4.432098765432099,272.6531982421875,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004085.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004085.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_004085.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_004086.npy,ngc_3031,spatial_offset_4pix__shell_major,158,15,1,5.580246913580247,359.2139892578125,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004086.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004086.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_004086.npy
stress,after_beam_velocity_extent_edge_filter,ngc_3031__std_004088.npy,ngc_3031,spatial_offset_8pix__shell_major,158,89,1,6.049382716049383,383.449951171875,1,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004088.json,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/pv/ngc_3031__std_004088.npy,/Users/turnip/Desktop/HIShells copy/pv_shells/training_data/standardized_5kpc_200kms_clean_physical_baseline/labels/ngc_3031__std_004088.npy
