epoch,learning_rate,loss,patch_precision_0p05,patch_precision_0p075,patch_precision_0p1,patch_recall_0p05,patch_recall_0p075,patch_recall_0p1,pixel_precision_0p05,pixel_precision_0p075,pixel_precision_0p1,pixel_recall_0p05,pixel_recall_0p075,pixel_recall_0p1,pr_auc,val_loss,val_patch_precision_0p05,val_patch_precision_0p075,val_patch_precision_0p1,val_patch_recall_0p05,val_patch_recall_0p075,val_patch_recall_0p1,val_pixel_precision_0p05,val_pixel_precision_0p075,val_pixel_precision_0p1,val_pixel_recall_0p05,val_pixel_recall_0p075,val_pixel_recall_0p1,val_pr_auc
0,0.0010000000474974513,0.3692362606525421,0.7725159525871277,0.7759275436401367,0.7778428792953491,0.9940186738967896,0.9928972125053406,0.9921495318412781,0.0697435513138771,0.0896281749010086,0.10880941152572632,0.67851322889328,0.6532411575317383,0.6364148259162903,0.2687036991119385,0.4516616761684418,0.9179104566574097,0.9229606986045837,0.9240121841430664,0.9389312863349915,0.932824432849884,0.9282442927360535,0.31741103529930115,0.3281532824039459,0.3359731435775757,0.28753700852394104,0.2765350639820099,0.26945415139198303,0.21495400369167328
1,0.0010000000474974513,0.3273780345916748,0.788044273853302,0.7931290864944458,0.7950403094291687,0.9929328560829163,0.9918169975280762,0.9897712469100952,0.25419360399246216,0.2643320560455322,0.2712288796901703,0.6244544386863708,0.6079168319702148,0.5967466235160828,0.32593539357185364,0.40296855568885803,0.883783757686615,0.8873812556266785,0.8885869383811951,0.9984732866287231,0.9984732866287231,0.9984732866287231,0.21247902512550354,0.21734902262687683,0.2207413911819458,0.595952033996582,0.5838874578475952,0.5757754445075989,0.25026676058769226
2,0.0010000000474974513,0.316617488861084,0.79693603515625,0.8006955981254578,0.8032537698745728,0.9919611215591431,0.9899046421051025,0.9876612424850464,0.27366432547569275,0.28490105271339417,0.29242387413978577,0.6280165314674377,0.6115099191665649,0.6005269289016724,0.34665703773498535,0.43446558713912964,0.9144459962844849,0.9156118035316467,0.9154929518699646,0.9954198598861694,0.9938931465148926,0.9923664331436157,0.19882039725780487,0.2042848765850067,0.20788772404193878,0.40870192646980286,0.3958096504211426,0.3872241675853729,0.19169962406158447
3,0.0010000000474974513,0.31418293714523315,0.8103578686714172,0.8140206933021545,0.8160427808761597,0.9896736145019531,0.9870920181274414,0.984879195690155,0.2809444069862366,0.29196855425834656,0.2993116080760956,0.6262170076370239,0.6103882789611816,0.6000823378562927,0.3542124032974243,0.4093344211578369,0.9029126167297363,0.9066852331161499,0.9078212380409241,0.9938931465148926,0.9938931465148926,0.9923664331436157,0.22925971448421478,0.23463962972164154,0.23841187357902527,0.48065808415412903,0.469133585691452,0.4614880084991455,0.23223793506622314
4,0.0010000000474974513,0.3073104918003082,0.7952517867088318,0.8009160161018372,0.8042677044868469,0.9920769929885864,0.9896246194839478,0.988304078578949,0.2896011471748352,0.30106279253959656,0.30852463841438293,0.6437150835990906,0.6280391812324524,0.6175985932350159,0.37249481678009033,0.42379122972488403,0.925984263420105,0.9263502359390259,0.9285714030265808,0.8977099061012268,0.8641221523284912,0.8534350991249084,0.34087511897087097,0.3526395857334137,0.36062145233154297,0.32379740476608276,0.3092392385005951,0.3004748821258545,0.25322380661964417
5,0.0010000000474974513,0.30538684129714966,0.81574946641922,0.8202298879623413,0.8221265077590942,0.9869413375854492,0.9843663573265076,0.9827110767364502,0.2955416440963745,0.30716079473495483,0.31471145153045654,0.6375192403793335,0.622240424156189,0.6119009256362915,0.37543901801109314,0.40332382917404175,0.894444465637207,0.8974719047546387,0.9017093777656555,0.9832060933113098,0.9755725264549255,0.9664121866226196,0.31205132603645325,0.32345715165138245,0.3310557007789612,0.42486637830734253,0.40776553750038147,0.39676710963249207,0.2722463011741638
6,0.0010000000474974513,0.2998616397380829,0.8153160214424133,0.8194767236709595,0.8222568035125732,0.9856850504875183,0.9840118885040283,0.9821528196334839,0.3047557771205902,0.31653231382369995,0.32418888807296753,0.647382915019989,0.632603108882904,0.6228027939796448,0.38925331830978394,0.44450363516807556,0.9082425832748413,0.9116203188896179,0.9180601835250854,0.8916030526161194,0.8503816723823547,0.8381679654121399,0.36695122718811035,0.3758605718612671,0.38217297196388245,0.26954182982444763,0.25561845302581787,0.24707503616809845,0.20842856168746948
7,0.0010000000474974513,0.2963908612728119,0.8151389360427856,0.8200402855873108,0.8217621445655823,0.983330249786377,0.9807371497154236,0.9777736663818359,0.3124772906303406,0.3242320418357849,0.33198118209838867,0.6415131092071533,0.6270977258682251,0.617724597454071,0.4015675187110901,0.40376290678977966,0.8275862336158752,0.8387516140937805,0.8407310843467712,0.989313006401062,0.9847328066825867,0.9832060933113098,0.24362272024154663,0.2517123520374298,0.25714948773384094,0.4898608326911926,0.47520095109939575,0.46562644839286804,0.27219054102897644
8,0.0010000000474974513,0.28979256749153137,0.8189087510108948,0.8228968977928162,0.8263082504272461,0.9838010668754578,0.9802222847938538,0.9785270094871521,0.32303422689437866,0.3350992202758789,0.34283703565597534,0.659997284412384,0.6455835103988647,0.6361039876937866,0.40746742486953735,0.39123690128326416,0.8919288516044617,0.8954607844352722,0.8977900743484497,0.9954198598861694,0.9938931465148926,0.9923664331436157,0.24282094836235046,0.25113576650619507,0.2564910054206848,0.5129308700561523,0.4992178976535797,0.49093401432037354,0.2855939269065857
9,0.0010000000474974513,0.2902679145336151,0.8287532925605774,0.8329942226409912,0.8369565010070801,0.9837818145751953,0.9808330535888672,0.9791743755340576,0.3252696096897125,0.3370259702205658,0.3446318805217743,0.6508421897888184,0.6372170448303223,0.628299355506897,0.4072229266166687,0.41821104288101196,0.9193798303604126,0.921135663986206,0.9236884117126465,0.9053435325622559,0.8916030526161194,0.8870229125022888,0.380176305770874,0.38960281014442444,0.39633995294570923,0.3009869158267975,0.28591668605804443,0.27716636657714844,0.2466670125722885
