epoch,learning_rate,loss,patch_precision_0p05,patch_precision_0p075,patch_precision_0p1,patch_recall_0p05,patch_recall_0p075,patch_recall_0p1,pixel_precision_0p05,pixel_precision_0p075,pixel_precision_0p1,pixel_recall_0p05,pixel_recall_0p075,pixel_recall_0p1,pr_auc,val_loss,val_patch_precision_0p05,val_patch_precision_0p075,val_patch_precision_0p1,val_patch_recall_0p05,val_patch_recall_0p075,val_patch_recall_0p1,val_pixel_precision_0p05,val_pixel_precision_0p075,val_pixel_precision_0p1,val_pixel_recall_0p05,val_pixel_recall_0p075,val_pixel_recall_0p1,val_pr_auc
10,0.0010000000474974513,0.2806720435619354,0.8333852887153625,0.8381820917129517,0.8404238224029541,0.9847145676612854,0.9815837740898132,0.9786372184753418,0.3390273153781891,0.3508746922016144,0.358673095703125,0.6668002009391785,0.6535912156105042,0.6446911692619324,0.4295350909233093,0.43171632289886475,0.9283536672592163,0.9317829608917236,0.9337539672851562,0.9297710061073303,0.9175572395324707,0.903816819190979,0.2801300883293152,0.28915658593177795,0.2950800955295563,0.32477590441703796,0.30727171897888184,0.2967783212661743,0.21684807538986206
11,0.0010000000474974513,0.2842518091201782,0.825962483882904,0.8306607007980347,0.8340597152709961,0.9809181690216064,0.9786510467529297,0.9761949777603149,0.3377439081668854,0.34952571988105774,0.3572169840335846,0.6500318646430969,0.6373506784439087,0.6288730502128601,0.42596372961997986,0.4252890646457672,0.9008620977401733,0.9001446962356567,0.9051094651222229,0.9572519063949585,0.9496183395385742,0.9465649127960205,0.30357131361961365,0.31138870120048523,0.31663423776626587,0.3455171585083008,0.3325828015804291,0.32407447695732117,0.21709945797920227
12,0.0010000000474974513,0.2750104069709778,0.8294108510017395,0.8328562378883362,0.8353561162948608,0.9798470139503479,0.9772345423698425,0.9761149287223816,0.3496617376804352,0.3612120747566223,0.36878061294555664,0.6772739291191101,0.6648669838905334,0.6564980745315552,0.4396136403083801,0.4490891396999359,0.8910614252090454,0.8959212303161621,0.899433434009552,0.9740458130836487,0.9725190997123718,0.9694656729698181,0.19880296289920807,0.20353834331035614,0.20647843182086945,0.3429569602012634,0.3315061032772064,0.3239341676235199,0.15671901404857635
13,0.0010000000474974513,0.27330896258354187,0.8392772078514099,0.8430808782577515,0.8454369902610779,0.9791050553321838,0.9755917191505432,0.9730029702186584,0.3561631739139557,0.367854505777359,0.3754231333732605,0.6761769652366638,0.664283275604248,0.6562591791152954,0.44482725858688354,0.4209882318973541,0.9095237851142883,0.9131832718849182,0.914893627166748,0.8748091459274292,0.8671755790710449,0.8534350991249084,0.3239908218383789,0.33336368203163147,0.3398524224758148,0.30718404054641724,0.29535093903541565,0.2883296012878418,0.21776103973388672
14,0.0010000000474974513,0.2660195827484131,0.8429620265960693,0.8471686244010925,0.8496118783950806,0.9741792678833008,0.971228301525116,0.9690151214599609,0.3708600699901581,0.382721483707428,0.39043503999710083,0.6802083253860474,0.6684116125106812,0.6605798602104187,0.464728981256485,0.44619208574295044,0.902255654335022,0.9078341126441956,0.9076923131942749,0.9160305261611938,0.9022901058197021,0.9007633328437805,0.2373369187116623,0.24167288839817047,0.24458085000514984,0.30420997738838196,0.2959681749343872,0.29065486788749695,0.13588450849056244
15,0.0005000000237487257,0.26170986890792847,0.840570330619812,0.8445570468902588,0.8482407331466675,0.972446084022522,0.9685098528862,0.9670103192329407,0.3806365430355072,0.39211955666542053,0.39970269799232483,0.6780483722686768,0.667365312576294,0.6600673794746399,0.4733473062515259,0.43644604086875916,0.9249201416969299,0.9309210777282715,0.9318937063217163,0.8839694857597351,0.8641221523284912,0.8564885258674622,0.3176441788673401,0.3247528076171875,0.32933443784713745,0.267953097820282,0.2579086124897003,0.25148001313209534,0.175310879945755
16,0.0005000000237487257,0.2515547573566437,0.8483679294586182,0.8546313047409058,0.8567687273025513,0.9783052206039429,0.9734841585159302,0.9705173373222351,0.3966909646987915,0.40872126817703247,0.41670843958854675,0.6952866911888123,0.684235692024231,0.6767802834510803,0.49964118003845215,0.43783754110336304,0.9268680214881897,0.9306451678276062,0.9301947951316833,0.8900763392448425,0.8809160590171814,0.8748091459274292,0.29982492327690125,0.3068792223930359,0.3117217719554901,0.2690929174423218,0.2580208480358124,0.251111775636673,0.16782598197460175
17,0.0005000000237487257,0.24958956241607666,0.8435133099555969,0.8476314544677734,0.8504504561424255,0.9770393967628479,0.9719992280006409,0.9691991806030273,0.40166714787483215,0.4142215847969055,0.4223710596561432,0.6996124386787415,0.6888197660446167,0.6813263893127441,0.5066508054733276,0.4156918525695801,0.9120234847068787,0.9151785969734192,0.9165424704551697,0.9496183395385742,0.9389312863349915,0.9389312863349915,0.28913772106170654,0.296351820230484,0.30119431018829346,0.36149924993515015,0.34933996200561523,0.34149447083473206,0.19357308745384216
18,0.0005000000237487257,0.24474936723709106,0.8446022272109985,0.8497881889343262,0.8521853089332581,0.9672888517379761,0.9639623165130615,0.9621142148971558,0.4150902330875397,0.42772403359413147,0.43599480390548706,0.703000545501709,0.692487359046936,0.6852843761444092,0.5173307657241821,0.40693551301956177,0.9070422649383545,0.9090909361839294,0.9103840589523315,0.9832060933113098,0.9770992398262024,0.9770992398262024,0.2587888538837433,0.26505619287490845,0.26931601762771606,0.4018174111843109,0.3910083770751953,0.38389238715171814,0.21094006299972534
19,0.0005000000237487257,0.2426214963197708,0.8383204340934753,0.8442129492759705,0.848688542842865,0.9745651483535767,0.9698896408081055,0.9682064652442932,0.4143736660480499,0.42640382051467896,0.43445315957069397,0.7113479971885681,0.701259434223175,0.6943220496177673,0.5199832916259766,0.41576072573661804,0.9306451678276062,0.9360655546188354,0.9357495903968811,0.8809160590171814,0.8717557191848755,0.8671755790710449,0.30309125781059265,0.3080633282661438,0.31139156222343445,0.30115875601768494,0.29074954986572266,0.28393515944480896,0.1736607402563095
20,0.0005000000237487257,0.24324598908424377,0.8460419774055481,0.8496412038803101,0.853042483329773,0.9736010432243347,0.96858149766922,0.96690833568573,0.41606056690216064,0.4284735918045044,0.4366544187068939,0.7076268792152405,0.6971848607063293,0.6899666786193848,0.5225765705108643,0.42746537923812866,0.8943662047386169,0.902718186378479,0.9040114879608154,0.9694656729698181,0.9633587598800659,0.9633587598800659,0.23792248964309692,0.24221432209014893,0.24511130154132843,0.3758469820022583,0.3665214776992798,0.36017003655433655,0.16911333799362183
