split,cut_category,threshold,patches,positive_patches,negative_patches,patch_tp,patch_fp,patch_fn,patch_tn,pixel_tp,pixel_fp,pixel_fn,patch_precision,patch_recall,patch_f1,pixel_precision,pixel_recall,pixel_f1
test,spatial_offset_8pix__shell_major,0.075,440,278,162,278,162,0,0,56414,200502,35298,0.6318181818181818,1.0,0.7743732590529248,0.2195814974544209,0.6151212491277042,0.3236343609807589
test,spatial_offset_8pix__shell_minor,0.05,440,304,136,302,134,2,2,55588,216556,39490,0.6926605504587156,0.993421052631579,0.8162162162162162,0.20425950967135045,0.5846568080944067,0.302748745990164
test,spatial_offset_8pix__shell_minor,0.075,440,304,136,302,134,2,2,54946,209594,40132,0.6926605504587156,0.993421052631579,0.8162162162162162,0.20770393891282982,0.5779044573928774,0.3055798096869456
test,velocity_offset_+15kms,0.05,220,220,0,220,0,0,0,49616,97960,22474,1.0,1.0,1.0,0.336206429229685,0.6882507976140935,0.45174036947001356
test,velocity_offset_+15kms,0.075,220,220,0,220,0,0,0,49196,94516,22894,1.0,1.0,1.0,0.3423235359608105,0.6824247468442225,0.4559364602737695
test,velocity_offset_+30kms,0.05,220,220,0,220,0,0,0,49384,96768,22706,1.0,1.0,1.0,0.3378947944605616,0.6850325981412124,0.4525618350271717
test,velocity_offset_+30kms,0.075,220,220,0,220,0,0,0,48914,93400,23176,1.0,1.0,1.0,0.3437047655185013,0.6785129698987377,0.45627880076864236
test,velocity_offset_-15kms,0.05,220,220,0,220,0,0,0,49794,98516,22296,1.0,1.0,1.0,0.3357427010990493,0.6907199334165627,0.4518511796733212
test,velocity_offset_-15kms,0.075,220,220,0,220,0,0,0,49322,95098,22768,1.0,1.0,1.0,0.34151779531920784,0.6841725620751838,0.45560944067248627
test,velocity_offset_-30kms,0.05,220,220,0,220,0,0,0,49474,99852,22616,1.0,1.0,1.0,0.3313153770944109,0.6862810375918991,0.4468873071503415
test,velocity_offset_-30kms,0.075,220,220,0,220,0,0,0,48958,96268,23132,1.0,1.0,1.0,0.3371159434261083,0.6791233180746289,0.45056967733622927
val,angle_offset_+22.5deg,0.05,152,152,0,152,0,0,0,18530,54144,12704,1.0,1.0,1.0,0.25497426865178746,0.5932637510405327,0.35666166223967355
val,angle_offset_+22.5deg,0.075,152,152,0,152,0,0,0,18308,51922,12926,1.0,1.0,1.0,0.2606863163890075,0.5861561119293078,0.36087676417251435
val,angle_offset_+45deg,0.05,152,152,0,148,0,4,0,23086,57734,11004,1.0,0.9736842105263158,0.9866666666666666,0.2856471170502351,0.6772073921971252,0.40181011226177005
